Day,Objective,"Campaign Name","Ad Set Name","Ad Name",Gender,Age,"Amount Spent (USD)",Reach,Impressions,"Unique Link Clicks","Unique Landing Page Views","Website Registrations Completed","App Installs","Unique Mobile App Registrations Completed","Mobile App Purchases","Reporting Starts","Reporting Ends"
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA  iOS - Blue Chart",male,45-54,0.01,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T2 LAL 5% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,35-44,0.02,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - T2 LAL 5% - 25-45 - Memes","TBA 2021 UA WC - Buff Doge - Cash LP (Branch)",male,35-44,0.14,8,8,1,1,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T2 LAL 5% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,25-34,0.16,5,5,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Purple Chart",male,35-44,0.02,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear","TBA 2021 UA WC - Pooh Bear - Cash LP",male,25-34,0.57,43,43,1,1,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear","TBA 2021 UA WC - Pooh Bear - Cash LP",male,35-44,0.82,34,34,2,2,,,,4,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear","TBA 2021 UA WC - Pooh Bear - Cash LP",female,25-34,0.09,9,9,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined LAL (New) - 25-54 - Test Group","TBA 2021 UA WC - Money March B - Cash LP",female,45-54,0.36,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - T2 LAL 5% - 25-45 - Memes","TBA 2021 UA WC - Buff Doge - Cash LP (Branch)",male,25-34,0.08,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA  iOS - Blue Chart",male,35-44,0,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - T2 LAL 5% - 25-45 - Memes","TBA 2021 UA WC - Buff Doge - Cash LP (Branch)",female,35-44,0.04,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Purple Chart",male,25-34,0,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear","TBA 2021 UA WC - Pooh Bear - Cash LP",female,35-44,0.08,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear","TBA 2021 UA WC - Pooh Bear - Cash LP",male,45-54,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear","TBA 2021 UA WC - Pooh Bear - Cash LP",female,45-54,0.06,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined LAL (New) - 25-54 - Test Group","TBA 2021 UA WC - Money March B - Cash LP",male,35-44,0.06,6,6,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Purple Chart",male,35-44,0.06,3,3,,,,,,,2021-03-21,2021-03-21
